epoch,accuracy,loss,val_accuracy,val_loss
0,0.8223995566368103,0.5570735335350037,0.8051947951316833,0.48915520310401917
1,0.8223995566368103,0.45386844873428345,0.8051947951316833,0.48261892795562744
2,0.8221040368080139,0.4177737534046173,0.8040141463279724,0.44801291823387146
3,0.8504728078842163,0.3345462381839752,0.8264462947845459,0.42352843284606934
4,0.88947993516922,0.2472640424966812,0.8323494791984558,0.43545952439308167
5,0.9284870028495789,0.17647051811218262,0.828807532787323,0.46094441413879395
6,0.9633569717407227,0.12056545168161392,0.8229043483734131,0.47912582755088806
7,0.9822695255279541,0.07987454533576965,0.824084997177124,0.5154455304145813
8,0.9920212626457214,0.052711036056280136,0.820543110370636,0.547035276889801
9,0.9961584210395813,0.03518649563193321,0.8264462947845459,0.5880386233329773
