,precision,recall,f1-score,support
0,0.0,0.0,0.0,68.0
1,0.8388625592417062,1.0,0.9123711340206186,354.0
accuracy,0.8388625592417062,0.8388625592417062,0.8388625592417062,0.8388625592417062
macro avg,0.4194312796208531,0.5,0.4561855670103093,422.0
weighted avg,0.703690393297545,0.8388625592417062,0.7653539844627939,422.0
