epoch,accuracy,loss,val_accuracy,val_loss
0,0.6690307259559631,1.0690010786056519,0.8028335571289062,0.6869040131568909
1,0.811170220375061,1.0667778253555298,0.819362461566925,0.6807431578636169
2,0.8188534379005432,1.0636605024337769,0.819362461566925,0.6725266575813293
3,0.8194444179534912,1.0580154657363892,0.819362461566925,0.6553871631622314
4,0.8194444179534912,1.046697974205017,0.8217237591743469,0.6236581802368164
5,0.8218085169792175,1.0263910293579102,0.8229043483734131,0.5970105528831482
6,0.8330378532409668,0.9938666820526123,0.8229043483734131,0.5748909711837769
7,0.8563829660415649,0.948624849319458,0.8158205151557922,0.5240567326545715
8,0.8714538812637329,0.9013874530792236,0.8075560927391052,0.5092291235923767
9,0.8758864998817444,0.8801047205924988,0.8040141463279724,0.5130777955055237
10,0.8741135001182556,0.9038944244384766,0.8075560927391052,0.5058981776237488
11,0.8782505989074707,0.8428696990013123,0.8051947951316833,0.4942389726638794
12,0.8817967176437378,0.8338767290115356,0.7898465394973755,0.5055803060531616
13,0.8850472569465637,0.7773962020874023,0.8028335571289062,0.47152382135391235
14,0.8829787373542786,0.7855902314186096,0.7945690751075745,0.48103320598602295
15,0.8936170339584351,0.7225148677825928,0.7792207598686218,0.48971059918403625
16,0.8868203163146973,0.7338224649429321,0.7933884263038635,0.47195756435394287
17,0.8947990536689758,0.6807569861412048,0.7874852418899536,0.4688205420970917
18,0.8950945734977722,0.6731464266777039,0.7792207598686218,0.47780102491378784
19,0.902482271194458,0.6525598168373108,0.7851239442825317,0.4596421420574188
20,0.9092789888381958,0.6320619583129883,0.7792207598686218,0.459297776222229
21,0.9072104096412659,0.6151161789894104,0.7792207598686218,0.45733141899108887
22,0.9083924293518066,0.602702260017395,0.7815820574760437,0.4559759199619293
23,0.9131205677986145,0.5841659307479858,0.7804014086723328,0.45499157905578613
24,0.9145981073379517,0.5705875754356384,0.7804014086723328,0.4504733979701996
